File,Section,Flags,Clauses 
Big Pictury GmbH anno.jsonl,§ 8 Abtretung von Geschäftsanteilen Die Abtretung oder Verpfändung von Geschäftsanteilen ist nur mit Zustimmung der Gesellschafterversammlung statthaft.,Green Flag,"Sonstige_Klauseln, Sonstige_Klauseln"
Big Pictury GmbH anno.jsonl,§ 9 Wettbewerbsverbot (1) Die Gesellschafterversammlung kann einzelnen Geschäftsführern oder Gesellschaftern durch Beschluss Befreiung von ihrem Wettbewerbsverbot erteilen. (2) Die Befreiung kann auf bestimmte Fälle oder Tätigkeiten beschränkt werden.,Green Flag,"Wettbewerb, Wettbewerb"
Big Pictury GmbH anno.jsonl,"§ 10 Einziehung von Geschäftsanteilen (1) Die Einziehung von Geschäftsanteilen ist jederzeit zulässig, wenn der betroffene Gesellschafter zustimmt. (2) Die Einziehung eines Geschäftsanteils ist ohne Zustimmung des betroffenen Gesellschafters zulässig, wenn (a) über sein Vermögen ein vorläufiger Insolvenzverwalter eingesetzt oder ein Insolvenzverfahren eröffnet oder die Eröffnung mangels Masse abgelehnt wird oder er die Richtigkeit seines Vermögensverzeichnisses an Eides Statt zu versichern hat, (b) sein Geschäftsanteil gepfändet oder in sonstiger Form der Zwangsvollstreckung unterworfen wird und die Vollstreckungsmaßnahme nicht innerhalb von zwei Monaten, spätestens bis zur Verwertung des Geschäftsanteils, wieder aufgehoben wird, (c) in seiner Person ein die Ausschließung rechtfertigender Grund vorliegt, insbesondere er seine Gesellschafterpflichten grob verletzt, (d) der Gesellschafter stirbt nach Maßgabe der Vorschriften dieses Gesellschaftsvertrages über die Erbfolge, (e) der Gesellschafter die Gesellschaft kündigt und die übrigen Gesellschafter nicht die Auflösung der Gesellschaft beschlossen haben,  (f) die Mehrheit an dem den Geschäftsanteil haltenden Rechtsträger nicht mehr denselben Inhabern zusteht wie beim Erwerb des Geschäftsanteils durch den Rechtsträger; die Einziehung ist insoweit unzulässig, als der Änderung der Beteiligungsverhältnisse an dem Rechtsträger nach den Vorschriften dieses Gesellschaftsvertrages über Verfügungen über Geschäftsanteile zugestimmt wurde. (3) Steht der Geschäftsanteil mehreren Personen zu, so genügt es, wenn die Voraussetzungen zur Einziehung nur bei einer von ihnen vorliegen. 
Mehrere Geschäftsanteile eines Gesellschafters sind gemeinsam einzuziehen. (4) Statt der Einziehung kann die Gesellschafterversammlung beschließen, dass der Geschäftsanteil ganz oder teilweise auf einen oder mehrere Gesellschafter, auf die Gesellschaft oder auf Dritte zu übertragen ist. 
Den Gesellschaftern steht das Erwerbsrecht im Verhältnis ihrer Beteiligung zu; etwaige Spitzenbeträge stehen dem Gesellschafter mit der größten Beteiligung zu. (5) Bei Beschlüssen über die Einziehung oder Übertragung von Geschäftsanteilen hat der betroffene Gesellschafter kein Stimmrecht. 
Seine Stimmen bleiben bei der Berechnung von Mehrheiten außer Betracht. (6) Die Abfindung für die Einziehung oder die Übertragung bestimmt sich nach den Vorschriften dieses Gesellschaftsvertrages. 
Bis zum Wirksamwerden der Einziehung oder bis zur Übertragung ruhen alle Rechte des ausscheidenden Gesellschafters einschließlich seines Stimmrechts. 
Seine Stimmen bleiben bei der Berechnung von Mehrheiten außer Betracht. (7) Die Einziehung wird mit Zugang des Einziehungsbeschlusses an den betroffenen Gesellschafter wirksam. (8) Im Rahmen der Einziehung eines Geschäftsanteils kann das Stammkapital herabgesetzt werden. 
Ebenso können durch Mehrheitsbeschluss neue Geschäftsanteile gebildet oder bestehende andere Geschäftsanteile aufgestockt werden. 
Neu gebildete Geschäftsanteile  können der Gesellschaft als eigene Geschäftsanteile oder Mitgesellschaftern bzw. 
Dritten zugewiesen werden.","Green Flag, Green Flag","Einziehung, Einziehung"
Big Pictury GmbH anno.jsonl,"§ 11 Erbfolge (1) Die Rechtsnachfolger eines verstorbenen Gesellschafters (Erben oder Vermächtnisnehmer) haben ihre Rechtsnachfolge durch öffentliche Urkunde nachzuweisen. 
Die Ausübung von Gesellschafterrechten durch einen Testamentsvollstrecker ist zulässig. (2) Mehrere Rechtsnachfolger haben ihre Rechte und Pflichten durch einen gemeinsamen Vertreter ausüben zu lassen. 
Solange dieser Vertreter nicht bestellt ist, ruhen ihre Rechte mit Ausnahme des Gewinnbezugsrechts. (3) Der Geschäftsanteil eines verstorbenen Gesellschafters kann innerhalb von zwölf Monaten ab Bekanntwerden der Rechtsnachfolge eingezogen oder seine Übertragung verlangt werden. 
Diese Frist ist gehemmt, solange die Rechtsnachfolge nicht gemäß Absatz 1 nachgewiesen wurde. (4) Absätze 3 bis 8 der Vorschrift über die Einziehung gelten entsprechend.",Green Flag,"Erbfolge, Erbfolge"
Big Pictury GmbH anno.jsonl,"§ 12 Abfindung (1) Sofern nach diesem Gesellschaftsvertrag eine Abfindung zu zahlen ist, erfolgt sie zum Verkehrswert des Geschäftsanteils ohne Berücksichtigung eines etwaigen Firmenwertes; am Ergebnis schwebender Geschäfte nimmt der ausscheidende Gesellschafter nicht teil. 
Kann keine Einigung über den Wert erzielt werden, bestimmen zwei Schiedsgutachter innerhalb von zwei Monaten den Wert mit verbindlicher Wirkung für sämtliche Beteiligte, wobei jeweils einer der Beteiligten einen der Schiedsgutachter benennt. 
Können sich die Schiedsgutachter nicht einigen, bestimmt ein von der Handelskammer Hamburg benannter Gutachter innerhalb von weiteren zwei Monaten den Wert inner-  halb der Grenzen der beiden vorliegenden Gutachten mit verbindlicher Wirkung für sämtliche Beteiligte. 
Die Kosten der Gutachter sind zwischen der Gesellschaft und dem Ausscheidenden entsprechend § 91 f. 
ZPO im Verhältnis des Obsiegens bzw. 
Unterliegens gegenüber der zunächst beanspruchten Abfindung zu verteilen. (2) Im Falle einer Einziehung oder Übertragung nach § 10 Abs. 2 Buchstabe a), b) und c) beträgt die Abfindung 2/3 des nach Absatz 1 zu berechnenden und festzustellenden Verkehrswertes. (3) Die Abfindung ist in höchstens vier gleichen Halbjahresraten zu zahlen. 
Die erste Rate ist spätestens sechs Monate nach dem Ausscheiden des Gesellschafters fällig. 
Der jeweilige Restbetrag ist mit 2 Prozentpunkten über dem Basiszinssatz zu verzinsen. 
Der Schuldner ist befugt, die Abfindung jederzeit ganz oder teilweise vorzeitig zu leisten. (4) Sollte im Einzelfall rechtskräftig festgestellt werden, dass die Abfindungsregelung nichtig oder unanwendbar ist, so ist die niedrigste noch zulässige Abfindung zu gewähren. 
Auch wenn über die Höhe der Abfindung gestritten wird, bleibt eine Einziehung wirksam und hat eine statt der Einziehung beschlossene Übertragung zu erfolgen. 
Im Fall der Übertragung hat der Schuldner Sicherheit nach den Vorschriften des BGB zu leisten, wobei eine selbstschuldnerische Bürgschaft eines im Inland zugelassenen Kreditinstituts ausreichend ist.",Green Flag,"Abfindung, Abfindung"
Big Pictury GmbH anno.jsonl,"§ 13 Schlussbestimmungen (1) Soweit in dieser Satzung nichts anderes bestimmt ist, gelten die Vorschriften des GmbHG. (2) Bekanntmachungen der Gesellschaft erfolgen nur im Bundesanzeiger. (3) Sollten einzelne Bestimmungen dieses Vertrages nichtig oder unwirksam sein, wird die Gültigkeit des Vertrages im Übrigen nicht berührt. 
An die Stelle der unwirksamen oder  nichtigen Bestimmung tritt eine solche, die im Ergebnis der unwirksamen oder nichtigen Bestimmung inhaltlich und wirtschaftlich am nächsten kommt. (4) Gerichtsstand für alle Streitigkeiten aus und im Zusammenhang mit diesem Gesellschaftsvertrag ist - soweit zulässig - das für den Sitz der Gesellschaft zuständige Landgericht.",Green Flag,"Schlussbestimmungen, Schlussbestimmungen"
Big Pictury GmbH anno.jsonl,"§ 14 Gründungskosten Die mit der Gesellschaftsgründung entstehenden Notar-, Gerichts- und Veröffentlichungskosten trägt die Gesellschaft bis zur Höhe von € 2.500,00.",Green Flag,"Kosten, Kosten"
Born To Fly Handels GmbH anno.jsonl,GESELLSCHAFTSVERTRAG,,TITEL
Born To Fly Handels GmbH anno.jsonl,"§ 1 Firma, Sitz (1) Die Firma der Gesellschaft lautet: Born To Fly Handels GmbH (2) Die Gesellschaft hat ihren Satzungssitz und ihren Verwaltungssitz in Hamburg.",RED FLAG,"Firma, Firma, Sitz, Sitz"
Born To Fly Handels GmbH anno.jsonl,"§ 2 Gegenstand des Unternehmens (1) Gegenstand des Unternehmens ist der Handel mit Lebensmitteln, GeschenkeWerbe- und Streuartikeln. (2) Die Gesellschaft ist zu allen Handlungen berechtigt, die dem Gegenstand des Unternehmens dienen. 
Sie kann zu diesem Zweck Unternehmen mit gleichem oder ähnlichem Unternehmensgegenstand gründen, erwerben oder sich an ihnen beteiligen und Zweigniederlassungen im In- und Ausland errichten.",RED FLAG,"Gegenstand, Gegenstand"
Born To Fly Handels GmbH anno.jsonl,"§ 3 Stammkapital, Einlagen (1) Das Stammkapital der Gesellschaft beträgt € 25.000,00 (2) Hierauf übernimmt: - Herr Dan-David Golla 25.000 Geschäftsanteile im Nennbetrag zu jeweils € 1,00. (3) Die Einlagen auf die übernommenen Geschäftsanteile sind jeweils zu 50 % vor Anmeldung der Gesellschaft zum Handelsregister in bar einzuzahlen. 
Ausstehende Einlagen sind unverzüglich nach Aufforderung durch die Geschäftsführung zur Einzahlung fällig.",RED FLAG,"Stammeinlagen, Stammkapital, Stammkapital, Stammeinlagen"
Born To Fly Handels GmbH anno.jsonl,"§ 4 Geschäftsführung, Vertretung (1) Die Gesellschaft hat einen oder mehrere Geschäftsführer. (2) Die Gesellschaft wird durch einen Geschäftsführer allein vertreten, wenn er alleiniger Geschäftsführer ist oder wird bzw. durch Gesellschafterbeschluss zur Einzelvertretung ermächtigt ist. 
Im Übrigen wird die Gesellschaft gemeinsam durch zwei Geschäftsführer oder durch einen Geschäftsführer gemeinsam mit einem Prokuristen vertreten. (3) Durch Gesellschafterbeschluss können einzelne oder alle Geschäftsführer von dem Verbot befreit werden, die Gesellschaft auch bei solchen Rechtsgeschäften zu vertreten, die sie mit sich selbst oder mit einem von ihnen vertretenen Dritten abschließen (Befreiung von den Beschränkungen des § 181 BGB).",Orange Flag,"Geschäftsführung, Vertretung, Geschäftsführung, Vertretung"
Born To Fly Handels GmbH anno.jsonl,"§ 5 Jahresabschluss, Ergebnisverwendung (1) Der Jahresabschluss (Bilanz nebst Gewinn- und Verlustrechnung) und der Anhang sowie ggf. der Lagebericht sind von der Geschäftsführung innerhalb der gesetzlichen Frist nach Ablauf eines Geschäftsjahres aufzustellen und unverzüglich allen Gesellschaftern vorzulegen. 
Die Gesellschafter haben den Jahresabschluss innerhalb der gesetzlichen Frist festzustellen und über die Ergebnisverwendung zu beschließen. (2) Die Gesellschafter haben grundsätzlich Anspruch auf Gewinnausschüttung, es sei denn, die Gesellschafterversammlung beschließt die Bildung von Rücklagen und/oder Gewinnvorträgen. (3) Der Gewinn ist im Verhältnis der Geschäftsanteile zu verteilen.",Green Flag,"Ergebnisverwendung, Jahresabschluss, Jahresabschluss, Ergebnisverwendung"
Born To Fly Handels GmbH anno.jsonl,"§ 6 Verfügungen über Geschäftsanteile Rechtsgeschäftliche Verfügungen eines Gesellschafters über Geschäftsanteile oder Teile hiervon bedürfen der Zustimmung der Gesellschaft, die diese nur erteilen darf, wenn die Gesellschafterversammlung zuvor mit einer Mehrheit von 75 % der abgegebenen Stimmen der Verfügung zugestimmt hat, wobei auch an der Verfügung beteiligte Gesellschafter stimmberechtigt sind. 
Dasselbe gilt für Vereinbarungen von Unterbeteiligungen, Treuhandschaften oder ähnlichen Rechtsverhältnissen.",Green Flag,"Sonstige_Klauseln, Sonstige_Klauseln"
Born To Fly Handels GmbH anno.jsonl,§ 7 Liquidation (1) Für den Fall der Liquidation der Gesellschaft erfolgt diese - sofern nichts anderes durch Gesellschafterbeschluss bestimmt wird - durch die Geschäftsführer im Rahmen ihrer bestehenden Vertretungsbefugnis. (2) Für die Vertretungsbefugnisse der Liquidatoren gelten die Regelungen über die Geschäftsführer entsprechend.,Green Flag,"Sonstige_Klauseln, Sonstige_Klauseln, Sonstige_Klauseln"
Born To Fly Handels GmbH anno.jsonl,"§ 8 Wettbewerbsverbot (1) Die Gesellschafter unterliegen keinem Wettbewerbsverbot gegenüber der Gesellschaft. 
Ein Entgelt ist hierfür nicht zu zahlen. (2) Entsprechendes gilt für Geschäftsführer vorbehaltlich einer abweichenden Regelung im Geschäftsführervertrag.",Green Flag,"Wettbewerb, Wettbewerb, Wettbewerb"
Born To Fly Handels GmbH anno.jsonl,§ 9 Bekanntmachungen Die Bekanntmachungen der Gesellschaft erfolgen ausschließlich im Bundesanzeiger.,Green Flag,"Sonstige_Klauseln, Sonstige_Klauseln"
Born To Fly Handels GmbH anno.jsonl,"§ 10 Schlussbestimmungen (1) Soweit in diesem Vertrag keine abweichenden Bestimmungen enthalten sind, sollen die Vorschriften des GmbH-Gesetzes in ihrer jeweiligen Fassung gelten. (2) Die Kosten der Gründung der Gesellschaft (Gerichtsgebühren, Veröffentlichungskosten, Notarkosten sowie ggf. 
Vergütung für vorbereitende Beratungstätigkeit) bis zu höchstens € 2.500,00 gehen zu Lasten der Gesellschaft. 
Die Gesellschaft trägt auch die Kosten von Kapitalerhöhungen und deren Durchführung bis maximal 10 % des jeweiligen Kapitalerhöhungsbetrages.",Green Flag,"Schlussbestimmungen, Schlussbestimmungen"
Brobeck GmbH anno.jsonl,Gesellschaftsvertrag,,TITEL
Brobeck GmbH anno.jsonl,"§1 Firma, Sitz, Dauer (1) Die Gesellschaft ist eine Gesellschaft mit beschränkter Haftung und führt die Firma: (2) (3) Brobeck GmbH Der Sitz der Gesellschaft ist Hamburg. 
Die Gesellschaft ist für unbestimmte Zeit errichtet.","Orange Flag, RED FLAG, RED FLAG, Orange Flag",
Brobeck GmbH anno.jsonl,"§2 Gegenstand des Unternehmens (1) Gegenstand des Unternehmens ist das Halten und Verwalten eigenen Vermögens, insbesondere von Beteiligungen sowie von Grundbesitz. 
Erlaubnispflichtige Tätigkeiten sind nicht Unternehmensgegenstand. (2) Die Gesellschaft kann alle Geschäfte betreiben, die dem Gegenstand des Unternehmens unmittelbar oder mittelbar zu dienen geeignet sind. 
Sie kann sich an anderen Unternehmen beteiligen, solche Unternehmen erwerben und Zweigniederlassungen im In- und Ausland errichten.",RED FLAG,"Gegenstand, Gegenstand"
Brobeck GmbH anno.jsonl,"§3 Stammkapital Das Stammkapital der Gesellschaft beträgt 25.100,00 € (in Worten: fünfundzwanzigtausendeinhundert Euro).",RED FLAG,"Stammkapital, Stammkapital"
Brobeck GmbH anno.jsonl,"§4 Verfugungen uber Geschaftsanteile ( 1) Verfugungen jeglicher Art - einschlielslich der Belastung (insbesondere NieBbrauchbestellung oder Verpfandung) - Ober die Geschaftsanteile oder Teile davon unter Lebenden bedurfen zu ihrerWirksamkeit der Zustimmung jedes einzelnen Gesellschafters. (2) Beim Verkauf von Geschaftsanteilen haben die Obrigen Gesellschafter ein Vorkaufsrecht. 
Die Ausubungsfrist betragt einen Monat. 
Das Vorkaufsrecht steht jedem Gesellschafter einzeln zu. 
Oben mehrere Gesellschafter das Vorkaufsrecht aus, erwerben sie die zu verauBernden Geschaftsanteile im Verhaltnis ihrer Beteiligungen zueinander. 
Unteilbare Spitzenbetrage ste­ hen dem Gesellschafter mit der niedrigsten Beteiligung zu. 
Wird das Vor­ kaufsrecht ausgeObt, ist die Zustimmung zur Abtretung nach Abs. 1 nicht erforderlich, im Obrigen bleibt Abs. 1 unberOhrt.",RED FLAG,"Stammeinlagen, Stammeinlagen"
Brobeck GmbH anno.jsonl,"§ 5 Geschaftsfilhrung (1) Die Gesellschaft hat einen oder mehrere Geschaftsfuhrer. (2) Die Geschaftsfuhrer sind an das Gesetz, diesen Gesellschaftsvertrag und die Weisungen der Gesellschafter gebunden. 
Die Gesellschafter konnen durch Beschluss eine Geschaftsordnung fur die GeschaftsfOhrung erlassen. (3) Die Gesellschafter konnen durch Beschluss einen Katalog von MaBnahmen festlegen, fur die die GeschaftsfOhrer der vorherigen Zustimmung der Ge­ sellschafterversammlung bedurfen. 
Die Vertretungsbefugnis der Geschafts­ fuhrer gegenOber Dritten bleibt davon unberuhrt.",Orange Flag,"Geschäftsführung, Geschäftsführung"
Brobeck GmbH anno.jsonl,"§6 Vertretung (1) 1st nur ein GeschaftsfOhrer bestellt, so vertritt er die Gesellschaft allein. 
Sind mehrere GeschaftsfOhrer bestellt, so wird die Gesellschaft durch zwei Ge­ schaftsfOhrer gemeinschaftlich oder durch einen Geschaftsfuhrer gemein­ sam mit einem Prokuristen vertreten. (2) Die Gesellschafter konnen alien oder einzelnen Geschaftsfuhrern durch Be­ schluss Einzelvertretungsbefugnis erteilen. 
Durch Gesellschafterbeschluss konnen alle oder einzelne Geschaftsfuhrer von den Beschrankungen des § 181 BGB befreit werden. (3) Die vorstehenden Bestimmungen gelten entsprechend fur Liquidatoren.",RED FLAG,"Vertretung, Vertretung"
Brobeck GmbH anno.jsonl,"§7 Geschaftsjahr, Jahresabschluss ( 1) Das Geschaftsjahr der Gesellschaft ist das Kalenderjahr. 
Das erste Ge­ schaftsjahr beginnt mit der GrOndung der Gesellschaft und endet mit Ablauf des 31. 
Dezember des gleichen Jahres. (2) Der Jahresabschluss ist van der Geschaftsfuhrung innerhalb der gesetzli­ chen Fristen nach Abschluss eines Geschaftsjahres aufzustellen. (3) Die Gewinnverteilung erfolgt entsprechend § 29 Absatz (3) Satz 1 GmbHG nach dem Verhaltnis der Geschaftsanteile, soweit nicht die Gesellschafter­ versammlung durch einstimmigen Beschluss eine abweichende Verteilung beschlier.it (disquotale AusschOttung). 
Einstimmig kann auch beschlossen werden, dass einzelnen Gesellschaftem Gewinnanteile ausgeschOttet und die Gewinnanteile anderer Gesellschafter einbehalten und diese auf fur die­ sen Zweck gebildeten personenbezogenen ROcklagekonten gutgeschrieben werden. 
Dies betrifft auch Gewinne vergangener Geschaftsjahre, Ober de­ ren Verwendung und Verteilung noch kein Beschluss gefasst wurde. 
Ein­ stimmig im Sinne dieses Absatzes erfordert die Zustimmung aller Gesell­ schafter. (4) Die Gesellschafterversammlung entscheidet Ober den Jahresabschluss und uber die Gewinnverwendung.","Orange Flag, Green Flag, Green Flag, Orange Flag","Geschäftsjahr, Jahresabschluss, Jahresabschluss, Geschäftsjahr, Jahresabschluss"
Brobeck GmbH anno.jsonl,"§8 Gesellschafterversammlungen (1) Gesellschafterversammlungen werden durch die Geschaftsfuhrer einberu­ fen. 
Jeder Geschaftsfuhrer ist allein zur Einberufung ermachtigt. (2) Die Gesellschafter sind zu den Gesellschafterversammlungen durch einge­ schriebenen Brief oder in Textform zu laden. 
Die Ladung hat mit einer Frist van zwei Wochen zu erfolgen, wobei der Tag der Ladung und der Tag der Versammlung nicht mitzurechnen sind. 
Tagungsort, Tagungszeit und Ta­ gesordnung sind in der Ladung mitzuteilen. (3) Gesellschafter konnen sich in der Gesellschafterversammlung vertreten las­ sen. 
Vollmachten sind in Textform vorzulegen. (4) Eine Gesellschafterversammlung ist nur beschlussfahig, wenn das gesamte Stammkapital vertreten ist. 1st nicht das gesamte Stammkapital vertreten, ist unter Beachtung van Abs. 1 und Abs. 2 unverzOglich eine neue Gesell­ schafterversammlung mit gleicher Tagesordnung einzuberufen. 
Diese ist ohne ROcksicht auf das vertretene Stammkapital beschlussfahig, falls hie­ rauf in der Einberufung hingewiesen wird.",Orange Flag,"Gesellschafterversammlung, Gesellschafterversammlung"
Brobeck GmbH anno.jsonl,"§9 Gesellschafterbeschlusse (1) Gesellschafterbeschlusse werden in Gesellschafterversammlungen gefasst. 
Gesellschafterbeschlusse konnen auch auP.ierhalb von Gesellschafterver­ sammlungen gefasst werden, wenn alle Gesellschafter an der Beschluss­ fassung teilnehmen und kein Gesellschafter gegen diese Art der Beschluss­ fassung widerspricht: a. im Umlauf- und/oder Sternverfahren, schriftlich, durch Telefax, E-Mail sowie mundlich oder per Telefon- oder Videokonferenz, b. in kombinierten Verfahren, insbesondere durch Kombination einer Ver­ sammlung einzelner Gesellschafter mit einer - vorherigen, gleichzeiti­ gen oder nachtraglichen - Stimmabgabe der anderen Gesellschafter im Sinne und in der Form von lit. a) sowie durch eine Kombination ver­ schiedener Stimmabgabearten im Sinne von lit. a). (2) Gesellschafterbeschlusse bedurfen der einfachen Mehrheit der abgegebe­ nen Stimmen, sofern nicht das Gesetz oder dieser Gesellschaftsvertrag eine groP.iere Mehrheit vorschreiben. 
Je EUR 1,00 des Nennbetrags eines Geschaftsanteils gewahren eine Stimme. 
Stimmenthaltungen zahlen als Nein-Stimmen. (3) Jeder Gesellschafter kann sich bei Beschlussen der Gesellschafter auf Grund Vollmacht vertreten lassen. 
Die Vollmacht bedarf der Textform. (4) Ein Gesellschafterbeschluss bedarf insbesondere zu folgenden MaP.inah­ men der Einstimmigkeit: a. 
Auflosung der Gesellschaft, b. 
Bestellung und Abberufung von Geschaftsfuhrern und deren Vertre­ tungsmacht, c. 
Aufstellung oder Anderung einer Geschaftsordnung fur die Geschafts­ fuhrung, d. 
Zustimmung zu Verfugungen Ober Geschaftsanteile (§ 4 Abs. 1 ), e. 
Feststellung des Jahresabschlusses der Gesellschaft und Ergebnisver­ wendung.",Green Flag,"Gesellschafterbeschlüsse, Gesellschafterbeschlüsse"
Brobeck GmbH anno.jsonl,"§ 10 Einziehung von Geschaftsanteilen (1) Die Einziehung von Geschaftsanteilen mit Zustimmung des betroffenen Ge­ sellschafters ist zulassig. (2) Die Einziehung von Geschaftsanteilen eines Gesellschafters ohne dessen Zustimmung ist in folgenden Fallen zulassig: a. 
Ober das Vermogen des Gesellschafters ist ein lnsolvenzverfahren er­ offnet oder die Eroffnung wird mangels Masse abgelehnt. b. 
Der Geschaftsanteil wird gepfandet und die Pfandung wird nicht inner­ halb von zwei Monaten, spatestens bis zum Beginn der Pfandverwer­ tung, wieder aufgehoben. c. 
Ein Geschaftsanteil geht auf einen anderen lnhaber Ober, ohne dass die Gesellschafterversammlung nach § 4 Abs. (1) diesem Obergang zu­ gestimmt hat. 
Dies gilt insbesondere fi.ir den Obergang im Wege der Zwangsvollstreckung; die Zustimmung zur Verpfandung des Geschafts­ anteils schlieBt dieses Einziehungsrecht nicht aus, wenn der verpfan­ dete Geschaftsanteil auf einen anderen lnhaber Obergeht, als einen Mit­ gesellschafter oder eine durch Gesellschafterbeschluss benannte Per­ son. 
Die vorliegende Bestimmung gilt nicht tor den Obergang von To­ des wegen, § 11. 
Eine Einziehung nach dieser Bestimmung ist nur zu­ lassig binnen eines Jahres nach Kenntnis von der Wirksamkeit dieses Obergangs und der Person des Erwerbers. d. 
In der Person des Gesellschafters liegt ein wichtiger Grund vor, der die AusschlieBung rechtfertigt; ein solcher Grund liegt vor, wenn ein weite­ res Verbleiben des Gesellschafters in der Gesellschaft tor diese untrag­ bar ist, insbesondere wenn der Gesellschafter eine ihm nach dem Ge­ sellschaftsvertrag obliegende wesentliche Verpflichtung vorsatzlich oder aus grober Fahrlassigkeit verletzt oder sonst durch sein Verhalten die Gesellschaftsinteressen erheblich schadigt. (3) Steht ein Geschaftsanteil mehreren Mitberechtigten gemeinschaftlich zu, so ist eine Einziehung zulassig, wenn deren Voraussetzungen in der Person nur eines Mitberechtigten vorliegen. (4) Die Einziehung wird durch die Gesellschafter beschlossen und sodann von der Gesellschaft gegen0ber dem betroffenen Gesellschafter bzw. seinen Rechtsnachfolgern erklart. 
Die Einziehung wird wirksam mit Zugang der Er­ klarung bei dem betroffenen Gesellschafter, unabhangig davon, wann die Abfindung gemaB § 12 gezahlt wird. 
Der Gesellschafterbeschluss Ober die Einziehung bedarf der einfachen Mehrheit der abgegebenen Stimmen, wo­ bei der betroffene Gesellschafter bzw. seine Rechtsnachfolger kein Stimm­ recht haben. (5) Die Gesellschafter konnen anstelle der Einziehung beschlieBen, dass der betreffende Gesellschafter den Geschaftsanteil an die Gesellschaft oder eine andere im Gesellschafterbeschluss zu benennende Person, bei der es sich auch um einen Gesellschafter handeln kann, abzutreten hat.",Green Flag,"Einziehung, Einziehung"
Brobeck GmbH anno.jsonl,"§ 11 Tod eines Gesellschafters Durch den Tod eines Gesellschafters wird die Gesellschaft nicht aufgelost, son­ dem mit seinen Erben oder Vermachtnisnehmern fortgesetzt.",Green Flag,"Erbfolge, Erbfolge"
